CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
1.01001E+11,7/18/2014 7:34,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,54 Granger St  Dorchester  MA  02122,7,3,3,C11,Dorchester,8,Ward 15,1506,R3,54 Granger St,2122,42.30265,-71.05749,Constituent Call
1.01001E+11,7/15/2014 13:19,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,470-472 Warren St  Dorchester  MA  02121,9,10B,7,B2,Roxbury,13,Ward 12,1206,R3,470-472 Warren St,2121,42.315032,-71.083189,Constituent Call
1.01001E+11,2/13/2014 13:10,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,11 Oxford Pl  Boston  MA  02111,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,R3,11 Oxford Pl,2111,42.35166,-71.06076,Constituent Call
1.01001E+11,6/20/2014 12:47,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,120 Huntington Ave  Boston  MA  02116,4,1C,2,D4,Back Bay,6,4,402,,120 Huntington Ave,2116,42.3594,-71.0587,Self Service
1.01001E+11,6/5/2014 7:27,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,348 Bowdoin St  Dorchester  MA  02125,7,3,3,C11,Dorchester,8,Ward 15,1504,CM,348 Bowdoin St,2125,42.30877,-71.06467,Constituent Call
1.01001E+11,5/15/2014 11:37,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,43 Boulevard Ter  Allston  MA  02134,11,4,9,D14,Allston / Brighton,15,Ward 21,2109,R3,43 Boulevard Ter,2134,42.34749,-71.14006,Constituent Call
1.01001E+11,5/5/2014 13:35,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,53 Copeland St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 12,1204,R3,53 Copeland St,2119,42.32271,-71.07967,Constituent Call
1.01001E+11,10/21/2013 20:12,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,501 Weld St  West Roxbury  MA  02132,9,6,6,E5,West Roxbury,12,Ward 20,2019,R1,501 Weld St,2132,42.29351,-71.15333,Self Service
1.01001E+11,6/26/2014 10:10,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,46 Lyon St  Dorchester  MA  02122,7,3,3,C11,Dorchester,8,Ward 15,1509,CM,46 Lyon St,2122,42.30601,-71.06108,Constituent Call
1.01001E+11,8/14/2013 16:19,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,INTERSECTION of Dudley St & North Ave  Roxbury  MA,7,3,7,B2,Roxbury,13,Ward 8,805,,INTERSECTION Dudley St & North Ave,,42.29036,-71.12776,Constituent Call
1.01001E+11,10/24/2013 18:43,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,1 Courtney Rd  West Roxbury  MA  02132,9,6,6,E5,West Roxbury,12,Ward 20,2019,R1,1 Courtney Rd,2132,42.29451,-71.15198,Self Service
1.01001E+11,1/6/2014 17:10,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,690 Massachusetts Ave  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 8,802,CM,690 Massachusetts Ave,2118,42.33545,-71.07529,Constituent Call
1.01001E+11,7/8/2014 13:51,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,72 Kneeland St  Boston  MA  02111,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,C,72 Kneeland St,2111,42.35054,-71.06053,Constituent Call
1.01001E+11,3/11/2014 11:19,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,13 Kenilworth St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 9,905,R2,13 Kenilworth St,2119,42.32889,-71.08746,Constituent Call
